Unnamed: 0,pokedex_number,name,generation,is_legendary,type_number,type_1,type_2,height_m,weight_kg,ability_1,ability_2,total_points,hp,attack,defense,sp_attack,sp_defense,speed,base_friendship,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,Evolution,form,base_name,has_image
17,14,Kakuna,1,0,2,Bug,Poison,0.6,10.0,Shed Skin,,205.0,45.0,25.0,50.0,25.0,25.0,35.0,70.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,beedrill,base,,True
18,15,Beedrill,1,0,2,Bug,Poison,1.0,29.5,Swarm,,395.0,65.0,90.0,40.0,45.0,80.0,75.0,70.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,,base,,True
19,15,Mega Beedrill,1,0,2,Bug,Poison,1.4,40.5,Adaptability,,495.0,65.0,150.0,40.0,15.0,80.0,145.0,70.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,,mega,Beedrill,True
20,16,Pidgey,1,0,2,Normal,Flying,0.3,1.8,Keen Eye,Tangled Feet,251.0,40.0,45.0,40.0,35.0,35.0,56.0,70.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,pidgeotto,base,,True
21,17,Pidgeotto,1,0,2,Normal,Flying,1.1,30.0,Keen Eye,Tangled Feet,349.0,63.0,60.0,55.0,50.0,50.0,71.0,70.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,pidgeot,base,,True
22,18,Pidgeot,1,0,2,Normal,Flying,1.5,39.5,Keen Eye,Tangled Feet,479.0,83.0,80.0,75.0,70.0,70.0,101.0,70.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,,base,,True
23,18,Mega Pidgeot,1,0,2,Normal,Flying,2.2,50.5,No Guard,,579.0,83.0,80.0,80.0,135.0,80.0,121.0,70.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,,mega,Pidgeot,True
24,19,Rattata,1,0,1,Normal,,0.3,3.5,Run Away,Guts,253.0,30.0,56.0,35.0,25.0,35.0,72.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,raticate,base,,True
25,19,Alolan Rattata,1,0,2,Dark,Normal,0.3,3.8,Gluttony,Hustle,253.0,30.0,56.0,35.0,25.0,35.0,72.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,,base,,True
26,20,Raticate,1,0,1,Normal,,0.7,18.5,Run Away,Guts,413.0,55.0,81.0,60.0,50.0,70.0,97.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,base,,True
27,20,Alolan Raticate,1,0,2,Dark,Normal,0.7,25.5,Gluttony,Hustle,413.0,75.0,71.0,70.0,40.0,80.0,77.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,,base,,True
28,21,Spearow,1,0,2,Normal,Flying,0.3,2.0,Keen Eye,,262.0,40.0,60.0,30.0,31.0,31.0,70.0,70.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,fearow,base,,True
29,22,Fearow,1,0,2,Normal,Flying,1.2,38.0,Keen Eye,,442.0,65.0,90.0,65.0,61.0,61.0,100.0,70.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,,base,,True
30,23,Ekans,1,0,1,Poison,,2.0,6.9,Intimidate,Shed Skin,288.0,35.0,60.0,44.0,40.0,54.0,55.0,70.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,arbok,base,,True
31,24,Arbok,1,0,1,Poison,,3.5,65.0,Intimidate,Shed Skin,448.0,60.0,95.0,69.0,65.0,79.0,80.0,70.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,,base,,True
32,25,Pikachu,1,0,1,Electric,,0.4,6.0,Static,,320.0,35.0,55.0,40.0,50.0,50.0,90.0,70.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,raichu,base,,True
33,25,Partner Pikachu,1,0,1,Electric,,0.4,6.0,,,430.0,45.0,80.0,50.0,75.0,60.0,120.0,70.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,base,,True
34,26,Raichu,1,0,1,Electric,,0.8,30.0,Static,,485.0,60.0,90.0,55.0,90.0,80.0,110.0,70.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,base,,True
35,26,Alolan Raichu,1,0,2,Electric,Psychic,0.7,21.0,Surge Surfer,,485.0,60.0,85.0,50.0,95.0,85.0,110.0,70.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,base,,True
36,27,Sandshrew,1,0,1,Ground,,0.6,12.0,Sand Veil,,300.0,50.0,75.0,85.0,20.0,30.0,40.0,70.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,sandslash,base,,True
37,27,Alolan Sandshrew,1,0,2,Ice,Steel,0.7,40.0,Snow Cloak,,300.0,50.0,75.0,90.0,10.0,35.0,40.0,70.0,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,,base,,True
38,28,Sandslash,1,0,1,Ground,,1.0,29.5,Sand Veil,,450.0,75.0,100.0,110.0,45.0,55.0,65.0,70.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,,base,,True
39,28,Alolan Sandslash,1,0,2,Ice,Steel,1.2,55.0,Snow Cloak,,450.0,75.0,100.0,120.0,25.0,65.0,65.0,70.0,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,,base,,True
40,29,Nidoran♀,1,0,1,Poison,,0.4,7.0,Poison Point,Rivalry,275.0,55.0,47.0,52.0,40.0,40.0,41.0,70.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,,base,,True
41,30,Nidorina,1,0,1,Poison,,0.8,20.0,Poison Point,Rivalry,365.0,70.0,62.0,67.0,55.0,55.0,56.0,70.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,nidoqueen,base,,True
42,31,Nidoqueen,1,0,2,Poison,Ground,1.3,60.0,Poison Point,Rivalry,505.0,90.0,92.0,87.0,75.0,85.0,76.0,70.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,,base,,True
43,32,Nidoran♂,1,0,1,Poison,,0.5,9.0,Poison Point,Rivalry,273.0,46.0,57.0,40.0,40.0,40.0,50.0,70.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,,base,,True
44,33,Nidorino,1,0,1,Poison,,0.9,19.5,Poison Point,Rivalry,365.0,61.0,72.0,57.0,55.0,55.0,65.0,70.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,nidoking,base,,True
45,34,Nidoking,1,0,2,Poison,Ground,1.4,62.0,Poison Point,Rivalry,505.0,81.0,102.0,77.0,85.0,75.0,85.0,70.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,,base,,True
46,35,Clefairy,1,0,1,Fairy,,0.6,7.5,Cute Charm,Magic Guard,323.0,70.0,45.0,48.0,60.0,65.0,35.0,140.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,clefable,base,,True
47,36,Clefable,1,0,1,Fairy,,1.3,40.0,Cute Charm,Magic Guard,483.0,95.0,70.0,73.0,95.0,90.0,60.0,140.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,,base,,True
48,37,Vulpix,1,0,1,Fire,,0.6,9.9,Flash Fire,,299.0,38.0,41.0,40.0,50.0,65.0,65.0,70.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,ninetales,base,,True
49,37,Alolan Vulpix,1,0,1,Ice,,0.6,9.9,Snow Cloak,,299.0,38.0,41.0,40.0,50.0,65.0,65.0,70.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,,base,,True
50,38,Ninetales,1,0,1,Fire,,1.1,19.9,Flash Fire,,505.0,73.0,76.0,75.0,81.0,100.0,100.0,70.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,,base,,True
51,38,Alolan Ninetales,1,0,2,Ice,Fairy,1.1,19.9,Snow Cloak,,505.0,73.0,67.0,75.0,81.0,100.0,109.0,70.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,,base,,True
52,39,Jigglypuff,1,0,2,Normal,Fairy,0.5,5.5,Cute Charm,Competitive,270.0,115.0,45.0,20.0,45.0,25.0,20.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,,base,,True
53,40,Wigglytuff,1,0,2,Normal,Fairy,1.0,12.0,Cute Charm,Competitive,435.0,140.0,70.0,45.0,85.0,50.0,45.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,,base,,True
54,41,Zubat,1,0,2,Poison,Flying,0.8,7.5,Inner Focus,,245.0,40.0,45.0,35.0,30.0,40.0,55.0,70.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,,base,,True
55,42,Golbat,1,0,2,Poison,Flying,1.6,55.0,Inner Focus,,455.0,75.0,80.0,70.0,65.0,75.0,90.0,70.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,,base,,True
56,43,Oddish,1,0,2,Grass,Poison,0.5,5.4,Chlorophyll,,320.0,45.0,50.0,55.0,75.0,65.0,30.0,70.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,base,,True
57,44,Gloom,1,0,2,Grass,Poison,0.8,8.6,Chlorophyll,,395.0,60.0,65.0,70.0,85.0,75.0,40.0,70.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,base,,True
58,45,Vileplume,1,0,2,Grass,Poison,1.2,18.6,Chlorophyll,,490.0,75.0,80.0,85.0,110.0,90.0,50.0,70.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,base,,True
59,46,Paras,1,0,2,Bug,Grass,0.3,5.4,Effect Spore,Dry Skin,285.0,35.0,70.0,55.0,45.0,55.0,25.0,70.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,base,,True
60,47,Parasect,1,0,2,Bug,Grass,1.0,29.5,Effect Spore,Dry Skin,405.0,60.0,95.0,80.0,60.0,80.0,30.0,70.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,base,,True
61,48,Venonat,1,0,2,Bug,Poison,1.0,30.0,Compound Eyes,Tinted Lens,305.0,60.0,55.0,50.0,40.0,55.0,45.0,70.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,,base,,True
62,49,Venomoth,1,0,2,Bug,Poison,1.5,12.5,Shield Dust,Tinted Lens,450.0,70.0,65.0,60.0,90.0,75.0,90.0,70.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,,base,,True
63,50,Diglett,1,0,1,Ground,,0.2,0.8,Sand Veil,Arena Trap,265.0,10.0,55.0,25.0,35.0,45.0,95.0,70.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,dugtrio,base,,True
64,50,Alolan Diglett,1,0,2,Ground,Steel,0.2,1.0,Sand Veil,Tangling Hair,265.0,10.0,55.0,30.0,35.0,45.0,90.0,70.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5,,base,,True
65,51,Dugtrio,1,0,1,Ground,,0.7,33.3,Sand Veil,Arena Trap,425.0,35.0,100.0,50.0,50.0,70.0,120.0,70.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,,base,,True
66,51,Alolan Dugtrio,1,0,2,Ground,Steel,0.7,66.6,Sand Veil,Tangling Hair,425.0,35.0,100.0,60.0,50.0,70.0,110.0,70.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5,,base,,True
67,52,Meowth,1,0,1,Normal,,0.4,4.2,Pickup,Technician,290.0,40.0,45.0,35.0,40.0,40.0,90.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,persian,base,,True
68,52,Alolan Meowth,1,0,1,Dark,,0.4,4.2,Pickup,Technician,290.0,40.0,35.0,35.0,50.0,40.0,90.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,,base,,True
69,52,Galarian Meowth,1,0,1,Steel,,0.4,7.5,Pickup,Tough Claws,290.0,50.0,65.0,55.0,40.0,40.0,40.0,,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,,base,,True
70,53,Persian,1,0,1,Normal,,1.0,32.0,Limber,Technician,440.0,65.0,70.0,60.0,65.0,65.0,115.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,base,,True
71,53,Alolan Persian,1,0,1,Dark,,1.1,33.0,Fur Coat,Technician,440.0,65.0,60.0,60.0,75.0,65.0,115.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,,base,,True
72,54,Psyduck,1,0,1,Water,,0.8,19.6,Damp,Cloud Nine,320.0,50.0,52.0,48.0,65.0,50.0,55.0,70.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,golduck,base,,True
73,55,Golduck,1,0,1,Water,,1.7,76.6,Damp,Cloud Nine,500.0,80.0,82.0,78.0,95.0,80.0,85.0,70.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,base,,True
74,56,Mankey,1,0,1,Fighting,,0.5,28.0,Vital Spirit,Anger Point,305.0,40.0,80.0,35.0,35.0,45.0,70.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,primeape,base,,True
75,57,Primeape,1,0,1,Fighting,,1.0,32.0,Vital Spirit,Anger Point,455.0,65.0,105.0,60.0,60.0,70.0,95.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,,base,,True
76,58,Growlithe,1,0,1,Fire,,0.7,19.0,Intimidate,Flash Fire,350.0,55.0,70.0,45.0,70.0,50.0,60.0,70.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,arcanine,base,,True
77,59,Arcanine,1,0,1,Fire,,1.9,155.0,Intimidate,Flash Fire,555.0,90.0,110.0,80.0,100.0,80.0,95.0,70.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,,base,,True
78,60,Poliwag,1,0,1,Water,,0.6,12.4,Water Absorb,Damp,300.0,40.0,50.0,40.0,40.0,40.0,90.0,70.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,poliwhirl,base,,True
79,61,Poliwhirl,1,0,1,Water,,1.0,20.0,Water Absorb,Damp,385.0,65.0,65.0,65.0,50.0,50.0,90.0,70.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,poliwrath,base,,True
80,62,Poliwrath,1,0,2,Water,Fighting,1.3,54.0,Water Absorb,Damp,510.0,90.0,95.0,95.0,70.0,90.0,70.0,70.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0,,base,,True
81,63,Abra,1,0,1,Psychic,,0.9,19.5,Synchronize,Inner Focus,310.0,25.0,20.0,15.0,105.0,55.0,90.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,kadabra,base,,True
82,64,Kadabra,1,0,1,Psychic,,1.3,56.5,Synchronize,Inner Focus,400.0,40.0,35.0,30.0,120.0,70.0,105.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,alakazam,base,,True
83,65,Alakazam,1,0,1,Psychic,,1.5,48.0,Synchronize,Inner Focus,500.0,55.0,50.0,45.0,135.0,95.0,120.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,base,,True
84,65,Mega Alakazam,1,0,1,Psychic,,1.2,48.0,Trace,,600.0,55.0,50.0,65.0,175.0,105.0,150.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,mega,Alakazam,True
85,66,Machop,1,0,1,Fighting,,0.8,19.5,Guts,No Guard,305.0,70.0,80.0,50.0,35.0,35.0,35.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,,base,,True
86,67,Machoke,1,0,1,Fighting,,1.5,70.5,Guts,No Guard,405.0,80.0,100.0,70.0,50.0,60.0,45.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,,base,,True
87,68,Machamp,1,0,1,Fighting,,1.6,130.0,Guts,No Guard,505.0,90.0,130.0,80.0,65.0,85.0,55.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,,base,,True
